frame,x,y,score
1595,912.0,744.0,0.4577
1596,908.0,742.0,0.4894
1597,906.0,742.0,0.5277
1598,904.0,742.0,0.4852
1599,902.0,740.0,0.4666
1600,902.0,740.0,0.4926
1601,900.0,740.0,0.3648
1602,900.0,738.0,0.4434
1603,896.0,738.0,0.4164
1604,896.0,736.0,0.29
1605,892.0,736.0,0.3872
1606,892.0,734.0,0.357
1607,890.0,734.0,0.3526
1608,888.0,732.0,0.3466
1609,886.0,732.0,0.4822
1610,886.0,732.0,0.3996
1611,884.0,732.0,0.4688
1612,884.0,732.0,0.4396
1613,882.0,730.0,0.4642
1614,880.0,730.0,0.4316
1615,878.0,728.0,0.4745
1616,876.0,728.0,0.4152
1617,874.0,728.0,0.4328
1618,870.0,728.0,0.4413
1619,870.0,726.0,0.4866
1620,868.0,726.0,0.482
1621,866.0,724.0,0.517
1622,866.0,724.0,0.493
1623,864.0,724.0,0.496
1624,864.0,722.0,0.4319
1625,860.0,722.0,0.2404
1625,864.0,722.0,0.2757
1626,860.0,720.0,0.2593
1626,864.0,720.0,0.2345
1627,856.0,720.0,0.301
1628,856.0,720.0,0.199
1629,854.0,718.0,0.2326
1630,852.0,718.0,0.3284
1631,852.0,716.0,0.2591
1632,850.0,716.0,0.1971
1633,848.0,716.0,0.1971
1634,846.0,714.0,0.1716
1635,842.0,712.0,0.2515
1636,840.0,712.0,0.3382
1637,840.0,712.0,0.3339
1638,838.0,712.0,0.3932
1639,836.0,710.0,0.4263
1640,834.0,710.0,0.4125
1641,834.0,710.0,0.3926
1642,832.0,708.0,0.3244
1643,830.0,708.0,0.3767
1644,828.0,708.0,0.2252
1645,826.0,706.0,0.2226
1646,824.0,706.0,0.3163
1647,822.0,702.0,0.2576
1648,822.0,702.0,0.3292
1649,820.0,702.0,0.3801
1650,820.0,702.0,0.3802
1651,816.0,700.0,0.3932
1652,814.0,700.0,0.2742
1653,812.0,698.0,0.2008
1654,810.0,698.0,0.3134
1655,810.0,698.0,0.4299
1656,808.0,698.0,0.4235
1657,806.0,698.0,0.4273
1658,804.0,696.0,0.439
1659,804.0,696.0,0.4493
1660,800.0,694.0,0.4136
1661,798.0,694.0,0.415
1662,796.0,692.0,0.4133
1663,796.0,692.0,0.4371
1664,792.0,692.0,0.3385
1665,788.0,690.0,0.4432
1666,788.0,690.0,0.3576
1667,788.0,688.0,0.193
1668,784.0,686.0,0.1477
1669,782.0,686.0,0.1466
1670,780.0,684.0,0.2645
1671,778.0,684.0,0.2625
1672,776.0,684.0,0.2269
1673,776.0,684.0,0.2531
1674,774.0,684.0,0.3771
1675,772.0,682.0,0.381
1676,772.0,680.0,0.3376
1677,770.0,680.0,0.418
1678,766.0,680.0,0.3762
1679,764.0,678.0,0.4096
1680,762.0,678.0,0.4361
1681,760.0,678.0,0.3957
1682,758.0,676.0,0.4176
1683,756.0,676.0,0.4122
1684,756.0,676.0,0.4515
1685,754.0,676.0,0.3515
1686,752.0,674.0,0.2307
1687,750.0,672.0,0.2542
1688,748.0,672.0,0.3793
1689,744.0,670.0,0.3038
1690,744.0,670.0,0.3071
1691,744.0,670.0,0.4
1692,744.0,668.0,0.3835
1693,740.0,668.0,0.4373
1694,738.0,668.0,0.3784
1695,738.0,666.0,0.2478
1696,734.0,666.0,0.3402
1697,732.0,666.0,0.3838
1698,730.0,666.0,0.4333
1699,728.0,664.0,0.3983
1700,728.0,664.0,0.4223
1701,726.0,664.0,0.4686
1702,724.0,662.0,0.4394
1703,722.0,662.0,0.3954
1704,718.0,660.0,0.3339
1705,716.0,660.0,0.2556
1706,714.0,660.0,0.203
1707,712.0,658.0,0.1841
1708,712.0,658.0,0.1892
1709,710.0,658.0,0.1643
1710,710.0,658.0,0.2106
1711,708.0,658.0,0.1788
1712,702.0,656.0,0.179
1712,706.0,656.0,0.1549
1713,702.0,654.0,0.1895
1714,702.0,652.0,0.3871
1715,700.0,652.0,0.3985
1716,698.0,652.0,0.3334
1717,696.0,652.0,0.375
1718,696.0,652.0,0.2989
1719,694.0,652.0,0.3562
1720,692.0,650.0,0.3361
1721,688.0,650.0,0.2916
1722,686.0,648.0,0.3199
1723,684.0,648.0,0.3893
1724,682.0,648.0,0.359
1725,680.0,646.0,0.4681
1726,680.0,646.0,0.4397
1727,678.0,646.0,0.4684
1728,676.0,644.0,0.4658
1729,674.0,644.0,0.4361
1730,672.0,642.0,0.3202
1731,670.0,642.0,0.3925
1732,668.0,640.0,0.4257
1733,666.0,640.0,0.4483
1734,664.0,638.0,0.4065
1735,662.0,638.0,0.3931
1736,662.0,638.0,0.3317
1737,660.0,636.0,0.3308
1738,658.0,636.0,0.3101
1739,656.0,634.0,0.3721
1740,654.0,634.0,0.3876
1741,650.0,634.0,0.4605
1742,650.0,634.0,0.4685
1743,648.0,634.0,0.3908
1744,646.0,632.0,0.3979
1745,644.0,632.0,0.4735
1746,644.0,630.0,0.4708
1747,640.0,630.0,0.4391
1748,638.0,630.0,0.426
1749,636.0,626.0,0.429
1750,634.0,626.0,0.4878
1751,632.0,626.0,0.4454
1752,632.0,626.0,0.4472
1753,630.0,624.0,0.4919
1754,630.0,624.0,0.5013
1755,628.0,622.0,0.4922
1756,624.0,620.0,0.4327
1757,624.0,620.0,0.4996
1758,622.0,620.0,0.4905
1759,620.0,620.0,0.4863
1760,618.0,618.0,0.4319
1761,616.0,618.0,0.4898
1762,614.0,616.0,0.5005
1763,614.0,616.0,0.4613
1764,612.0,614.0,0.4787
1765,608.0,614.0,0.4757
1766,606.0,612.0,0.4737
1767,606.0,612.0,0.4495
1768,604.0,610.0,0.4063
1769,602.0,610.0,0.441
1770,602.0,608.0,0.4431
1771,600.0,608.0,0.4923
1772,598.0,608.0,0.4864
1773,596.0,606.0,0.4726
1774,596.0,604.0,0.4437
1775,594.0,604.0,0.4305
1776,592.0,604.0,0.4597
1777,590.0,602.0,0.4712
1778,588.0,602.0,0.45
1779,586.0,600.0,0.4337
1780,584.0,598.0,0.4456
1781,584.0,598.0,0.4139
1782,582.0,596.0,0.3984
1783,580.0,594.0,0.3928
1784,578.0,594.0,0.3716
1785,576.0,594.0,0.2379
